"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Midichloriaceae","Aquarickettsia","Aquarickettsia"
"ASV_2","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Genus_Spirochaeta_2"
"ASV_3","Bacteria","Proteobacteria","","","Unclassified_ASV_3","Unclassified_ASV_3","Unclassified_ASV_3"
"ASV_4","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Genus_Spirochaeta_2"
"ASV_5","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Midichloriaceae","Aquarickettsia","Aquarickettsia"
"ASV_6","Bacteria","Proteobacteria","Alphaproteobacteria","","Unclassified_ASV_6","Unclassified_ASV_6","Unclassified_ASV_6"
"ASV_7","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","Family_P3OB-42","Family_P3OB-42"
"ASV_8","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Genus_Spirochaeta_2"
"ASV_9","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","cecorum"
"ASV_10","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Helicobacteraceae","Family_Helicobacteraceae","Family_Helicobacteraceae"
"ASV_11","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Midichloriaceae","Aquarickettsia","Aquarickettsia"
"ASV_12","Bacteria","Proteobacteria","","","Unclassified_ASV_12","Unclassified_ASV_12","Unclassified_ASV_12"
"ASV_13","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","Unclassified_ASV_13","Unclassified_ASV_13","Unclassified_ASV_13"
"ASV_14","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Midichloriaceae","Aquarickettsia","Aquarickettsia"
"ASV_15","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia","sedimentorum"
"ASV_16","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Midichloriaceae","Aquarickettsia","Aquarickettsia"
"ASV_17","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium","Genus_Cetobacterium"
"ASV_18","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Midichloriaceae","Aquarickettsia","Aquarickettsia"
"ASV_19","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Unclassified_ASV_19","Unclassified_ASV_19","Unclassified_ASV_19"
"ASV_20","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudoruegeria","Genus_Pseudoruegeria"
